GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_099220	122.76	170.65	149.71	160.33	162.10	145.23	147.25	139.11	144.19	152.12	141.32	168.31	153.18	166.81	61.08	63.12	69.08	51.57	9.42	15.26	153.67	188.56	127.23	157.61	138.33	139.91	105.31	126.74	125.66	146.83	29.22	29.39	29.01	29.42	33.55	32.60	29.50	33.37	27.78	22.43	35.80	17.29	30.55	44.67	66.97	51.00	28.90	42.89	65.20	38.74	68.19	47.03	57.83	56.22	55.00	26.00	55.50	61.57	52.08	51.37	43.87	52.88	59.41	15.66	75.62	258.71	20.20	9.32	13.61	11.72	23.37	33.00	15.29	16.29	12.97	4.33	18.60	20.20	17.45	38.30	34.14	7.26	10.47	20.42	24.59	9.75	24.59	7.04	19.24	0.09	8.18	22.59	34.71	17.31	26.39
AFUB_099230	126.23	177.98	151.74	166.99	178.85	159.53	157.12	149.45	166.60	161.18	148.29	180.40	160.97	177.99	65.14	65.74	76.41	63.13	9.11	16.08	153.72	190.78	140.94	163.29	147.15	157.10	115.42	138.25	127.80	157.16	33.16	33.97	34.01	32.61	33.18	36.27	31.47	35.03	30.11	25.80	37.75	17.16	32.65	46.81	71.28	59.33	29.69	45.94	71.56	43.16	76.90	52.90	61.83	62.39	59.83	27.68	59.62	63.39	57.55	55.40	45.38	56.02	61.50	16.80	82.42	285.76	23.91	8.67	9.66	8.97	28.64	34.32	12.21	15.80	11.18	4.37	18.51	23.91	16.44	28.44	29.42	6.62	9.22	14.17	26.26	10.43	26.26	6.52	16.70	0.03	7.99	29.51	42.08	20.03	28.10
AFUB_099240	114.95	165.91	151.74	156.31	159.65	140.89	142.99	135.98	146.92	147.89	132.31	164.44	154.54	165.50	62.08	60.56	74.60	55.13	10.43	14.65	147.41	185.64	114.26	160.81	134.40	145.99	105.36	123.34	120.53	138.55	23.83	25.69	23.32	25.68	27.91	31.89	24.89	30.83	25.58	20.08	31.32	13.75	29.89	41.35	64.71	56.02	23.95	44.67	61.81	40.41	73.40	45.15	54.95	52.71	61.88	24.13	49.91	58.01	52.09	52.10	44.11	55.48	54.26	17.58	72.23	268.15	22.81	11.09	10.74	11.17	23.13	31.98	15.10	16.43	11.38	6.86	24.46	22.81	18.14	32.24	30.18	7.44	9.57	17.04	22.13	9.44	22.13	8.48	22.21	0.32	9.23	21.80	29.71	14.01	24.54
AFUB_099250	113.21	161.81	145.17	160.82	174.27	139.31	140.91	138.73	142.80	138.15	140.27	157.67	143.75	169.66	56.42	57.19	70.87	45.46	9.63	13.47	151.58	180.50	106.60	152.89	133.97	140.19	108.52	123.84	121.30	140.47	23.89	22.85	22.67	24.73	29.06	26.12	22.91	26.69	21.92	18.61	29.53	13.90	28.28	42.28	60.76	50.48	25.11	43.49	57.21	35.76	68.83	38.08	50.81	53.86	56.48	24.59	46.90	52.56	49.33	49.58	43.62	47.22	54.18	16.49	67.57	266.01	19.09	10.22	11.58	10.50	21.61	32.50	14.57	16.24	12.66	6.46	23.24	19.09	15.22	30.32	27.90	7.22	8.79	20.96	18.66	11.21	18.66	7.04	18.87	0.75	10.81	17.49	28.61	13.88	22.92
AFUB_099260	110.12	163.53	140.96	146.93	144.67	132.16	138.80	129.15	137.86	138.30	128.31	159.35	138.03	165.68	53.73	62.83	74.77	51.90	9.51	15.03	140.33	164.21	110.57	149.87	129.55	133.56	105.46	116.25	114.60	136.77	21.34	22.10	21.46	23.28	27.07	24.50	20.34	24.70	19.66	16.96	30.44	14.89	25.42	41.91	62.69	51.14	21.36	38.80	55.91	40.18	68.10	43.50	53.93	46.27	54.21	21.65	45.80	55.16	52.10	55.42	46.55	51.59	57.71	16.03	63.23	246.79	16.52	9.26	13.23	8.20	23.00	30.60	13.01	11.35	9.97	4.40	15.70	16.52	14.09	21.45	23.97	6.52	10.21	13.06	21.59	11.73	21.59	6.79	16.92	0.11	7.40	19.19	24.93	11.32	18.15
AFUB_099270	120.74	175.90	151.15	160.52	168.27	149.20	156.45	144.55	151.73	145.09	137.78	166.06	152.80	168.55	62.47	69.23	74.62	60.56	10.25	15.28	150.77	187.61	115.64	164.62	133.03	147.48	108.04	127.51	126.75	146.22	28.39	28.87	27.53	28.70	30.98	33.09	27.08	32.51	26.18	18.82	33.30	15.65	32.08	47.71	71.59	55.20	26.70	47.51	70.22	40.35	72.53	44.24	58.38	52.97	65.45	26.04	56.84	62.73	56.51	57.24	48.39	54.12	57.87	20.97	71.23	287.29	21.23	9.14	11.39	9.53	23.56	29.13	15.56	17.07	11.33	5.57	20.45	21.23	18.60	34.32	32.41	6.98	9.43	16.70	24.06	10.65	24.06	10.15	19.33	0.21	7.01	24.78	33.80	16.77	27.48
AFUB_099280	114.32	171.23	148.88	161.28	167.63	147.97	152.87	141.05	153.85	148.38	139.19	171.07	156.97	172.97	65.19	63.21	78.28	62.53	10.35	16.46	145.50	181.63	132.74	160.86	135.96	152.16	104.69	123.94	128.46	143.02	32.10	32.31	30.49	30.94	35.78	34.49	29.20	37.20	31.60	24.79	33.32	18.24	32.52	43.66	71.88	57.48	29.99	47.98	64.71	40.10	71.80	44.82	61.05	56.67	59.71	27.10	63.42	62.08	54.06	60.75	45.86	52.71	63.59	19.41	73.16	264.12	25.06	8.41	12.31	8.67	23.94	31.90	12.16	18.33	12.31	4.55	15.94	25.06	16.73	32.67	34.85	6.48	10.05	16.53	20.56	8.57	20.56	6.56	21.89	0.14	7.78	27.10	38.90	19.49	30.06
AFUB_099290	108.28	162.51	147.06	161.03	153.71	134.60	138.49	129.61	138.87	144.16	130.28	165.27	136.91	158.36	62.63	59.24	72.75	60.64	10.45	14.58	142.08	175.07	114.74	152.27	131.86	141.81	107.93	124.35	120.83	133.43	23.25	25.70	26.12	23.95	26.96	28.14	22.40	27.95	24.02	19.37	30.81	13.57	26.92	41.14	67.91	55.32	22.75	47.12	59.99	36.43	76.43	39.31	62.13	53.36	60.73	21.01	57.79	56.88	53.77	52.74	44.31	56.50	53.88	17.99	65.14	260.21	19.96	9.70	8.70	8.97	29.26	34.37	14.50	15.76	10.74	4.69	22.96	19.96	15.71	27.33	29.41	7.88	8.61	16.58	21.98	12.54	21.98	9.17	19.22	0.25	7.56	22.53	30.20	15.43	26.79
AFUB_099300	116.78	164.51	142.14	152.93	169.03	140.45	142.58	132.18	144.00	138.57	130.44	160.07	148.75	153.98	61.90	60.95	69.74	52.31	9.53	13.04	146.80	172.68	108.96	155.17	129.78	136.25	100.72	116.97	116.94	145.42	24.09	25.86	24.84	24.01	25.65	26.98	21.02	26.38	22.97	18.02	27.03	11.47	27.47	39.56	64.53	56.77	22.90	43.69	59.67	38.22	69.70	43.21	57.09	54.40	53.82	21.03	48.86	61.20	50.69	48.83	43.32	50.37	58.58	15.85	64.98	252.35	17.81	9.22	12.26	7.14	24.64	29.89	14.56	15.27	8.34	9.01	26.41	17.81	17.48	25.89	24.08	6.75	8.89	13.86	20.02	11.52	20.02	9.64	18.92	0.17	8.62	20.36	26.42	13.28	25.01
AFUB_099310	118.82	173.28	153.44	173.29	181.41	161.04	157.75	145.35	154.56	152.53	148.26	172.89	161.37	172.73	65.87	64.89	80.83	62.86	9.20	14.49	154.03	192.38	134.93	167.01	147.64	151.09	114.83	126.03	126.48	149.57	31.30	33.53	31.41	32.36	33.36	36.57	30.51	35.70	31.51	23.85	39.33	17.06	34.46	43.95	70.30	60.03	27.95	51.37	67.74	45.30	77.45	49.18	68.64	64.08	60.97	25.90	55.55	64.89	58.17	56.60	46.17	54.33	63.26	14.57	79.44	298.62	21.70	7.73	12.67	9.08	28.60	39.55	13.78	17.53	11.92	3.16	17.24	21.70	16.90	29.80	30.12	7.98	11.01	16.86	27.44	9.69	27.44	8.11	19.72	0.14	9.22	25.19	41.73	19.78	29.51
